customer_id,feedback,fecha,canal
C-DEMO-001,"Llevo más de dos semanas sin internet en casa. Llamé al call center tres veces y cada vez me dan una fecha diferente para el técnico. Me tienen cansado, estoy pensando en cancelar el contrato.",2026-04-05,chat
C-DEMO-001,"Al final el técnico llegó y el problema era una conexión suelta. El servicio funciona bien ahora. No fue tan grave pero me hicieron perder demasiado tiempo y paciencia.",2026-04-18,encuesta
C-DEMO-002,"Pedí el viernes a la noche y el lunes a la mañana ya lo tenía en casa. El producto llegó impecable, bien embalado, exactamente lo que describían en la página. Excelente, volvería a comprar sin dudarlo.",2026-04-03,reseña
C-DEMO-002,"Segunda compra y todo perfecto de nuevo. Llegó antes de lo esperado, el empaque protegió el producto perfectamente. Son un modelo de lo que debería ser el comercio electrónico.",2026-04-22,reseña
C-DEMO-003,"Me cortaron el servicio sin previo aviso y debo facturas que ya pagué. Tengo los comprobantes pero nadie me da solución. Voy a presentar una denuncia formal ante la ASFI si no resuelven esto en el día.",2026-04-08,chat
C-DEMO-003,"Ya presenté la denuncia formal. Mi abogado se comunicó con la empresa. Tienen 48 horas para responder o seguimos con acciones legales. Esto es inaceptable y no puede quedar así.",2026-04-20,chat
C-DEMO-004,"El producto llegó bien pero tardó cinco días en lugar de los dos prometidos. La calidad está bien, nada para quejarse del producto en sí, pero la logística necesita mejorar bastante.",2026-04-06,encuesta
C-DEMO-004,"Esta vez llegó en dos días, excelente. Parece que mejoraron la distribución. El producto otra vez impecable, bien protegido. Cambié de opinión sobre la empresa, los recomiendo.",2026-04-24,encuesta
C-DEMO-005,"Llevo seis meses con la misma queja: la señal en mi barrio es pésima. No puedo trabajar desde casa porque se corta constantemente. Estoy evaluando seriamente pasarme a Entel o Viva.",2026-04-10,encuesta
C-DEMO-005,"Cancelé el servicio y me cambié a Entel. Les doy este feedback para que sepan por qué los clientes se van. La cobertura en zona sur es inexistente. Nunca más vuelvo con esta empresa.",2026-04-25,encuesta
C-DEMO-006,"El plan de internet que contraté es exactamente lo que me ofrecieron: velocidad estable, buen precio y atención al cliente que responde rápido. Lo recomiendo a toda mi familia sin dudarlo.",2026-04-02,encuesta
C-DEMO-007,"Compré una cafetera y llegó con la manija rota. La reposición tardó diez días y tuve que llamar cuatro veces para que la enviaran. El producto de reposición llegó bien pero el proceso fue un desastre.",2026-04-04,chat
C-DEMO-008,"Llevo tres días intentando que alguien del soporte técnico me ayude con la configuración del router. Me transfieren de área en área y nadie sabe nada. Voy a cancelar el contrato esta semana si no lo resuelven.",2026-04-07,chat
C-DEMO-009,"Excelente servicio de entrega. Compré dos televisores grandes y los trajeron en camioneta, los subieron al departamento y hasta los conectaron para probar que funcionaban. Eso sí es atención al cliente.",2026-04-09,reseña
